corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23521	1	1	0	4097128	Introduction	null	null	null	null	UNANN	6524343	null	null	null	null
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	null	null	null	null	UNANN	6524344	null	null	null	null
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10635	chemical	426	Weapon	MANUAL	6525332	8	15	EGp	chemical
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10635	chemical	426	Weapon	MANUAL	6525332	17	23	EGp	weapons
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10636	ballistic	426	Weapon	MANUAL	6525333	29	37	EGp	ballistic
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10636	ballistic	426	Weapon	MANUAL	6525333	39	46	EGp	missiles
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10652	nuclear	426	Weapon	MANUAL	6525334	67	73	EGp	nuclear
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10652	nuclear	426	Weapon	MANUAL	6525334	75	80	EGp	weapon
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10724	program.n	1158	Project	MANUAL	6525335	82	88	RLG	program
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	11600	warfare.n	93	Hostile_encounter	MANUAL	6525336	105	111	RLG	warfare
135	23521	1	2	0	4097129	Iran 's chemical weapons and ballistic missiles , and possibly its nuclear weapon program and biological warfare capabilities , are meant to deter opponents and to gain influence in the Persian Gulf and Caspian Sea regions .	10702	capability.n	990	Capability	MANUAL	6525337	113	124	RLG	capabilities
