corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23605	1	1	0	4099581	BW - PREP / DEFENSE / RESPONSE - U.S.	null	null	null	null	UNANN	6534922	null	null	null	null
135	23605	1	2	0	4099582	Disaster readiness fund urged [ North Carolina ]	null	null	null	null	UNANN	6534923	null	null	null	null
135	23605	1	2	0	4099582	Disaster readiness fund urged [ North Carolina ]	2302	disaster.n	115	Catastrophe	MANUAL	6535363	0	7	RLG	Disaster
135	23605	1	2	0	4099582	Disaster readiness fund urged [ North Carolina ]	659	urge.v	41	Request	MANUAL	6535364	24	28	RLG	urged
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	null	null	null	null	UNANN	6534924	null	null	null	null
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	11820	should.v	1383	Desirable_event	MANUAL	6535365	24	29	RLG	should
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	11419	lab.n	196	Locale_by_use	MANUAL	6535367	70	72	RLG	lab
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	3329	millions.n	189	Quantified_mass	MANUAL	6535368	76	83	RLG	millions
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	7041	help.v	391	Assistance	MANUAL	6535369	127	130	RLG	help
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	2302	disaster.n	115	Catastrophe	MANUAL	6535371	157	164	RLG	disaster
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	3997	Thursday.n	229	Calendric_unit	MANUAL	6535372	200	207	RLG	Thursday
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	13361	money.n	1761	Money	MANUAL	6536758	41	45	RLG	money
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	6715	after.prep	379	Time_vector	MANUAL	6541659	149	153	KmG	after
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	14165	dose.n	189	Quantified_mass	MANUAL	6548120	88	92	KmG	doses
135	23605	1	3	0	4099583	`` The General Assembly should set aside money for a new state health lab , millions of doses of antiviral drugs and a fund to help meet basic needs after a disaster , a legislative panel recommended Thursday .	16339	state	195	Political_locales	MANUAL	6563338	57	61	MLC	state
135	23605	2	3	0	4099584	The General Assembly has worked to improve its response to potential terrorist attacks after the Sept. 11, 2001 , attacks and the ensuing anthrax scares .	null	null	null	null	UNANN	6534925	null	null	null	null
135	23605	2	3	0	4099584	The General Assembly has worked to improve its response to potential terrorist attacks after the Sept. 11, 2001 , attacks and the ensuing anthrax scares .	11469	response.n	1302	Response	MANUAL	6535373	47	54	RLG	response
135	23605	2	3	0	4099584	The General Assembly has worked to improve its response to potential terrorist attacks after the Sept. 11, 2001 , attacks and the ensuing anthrax scares .	7745	attack.n	424	Attack	MANUAL	6535374	79	85	RLG	attacks
