corpID	docID	sentNo	paragNo	aPos	ID	text	tokenFragment	start	tokenFragment	end	charSegment	start	charSegment	end	babelSynsetID	DBpediaURL	BabelNetURL	score	coherenceScore	globalScore	source
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	0	0	0	9	bn:03311380n	http://dbpedia.org/resource/Paula_Zahn	http://babelnet.org/rdf/s03311380n	1.0	0.23529412	0.0023276112	BABELFY
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	2	2	13	21	bn:00030951n		http://babelnet.org/rdf/s00030951n	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	5	5	33	37	bn:00032654n		http://babelnet.org/rdf/s00032654n	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	9	9	52	60	bn:00086557v		http://babelnet.org/rdf/s00086557v	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	11	11	65	69	bn:00032654n		http://babelnet.org/rdf/s00032654n	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	13	13	76	78	bn:00085567v		http://babelnet.org/rdf/s00085567v	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	15	16	84	96	bn:00003341n	http://dbpedia.org/resource/United_States	http://babelnet.org/rdf/s00003341n	0.9553398	0.9411765	0.2862962	BABELFY
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	16	16	91	96	bn:00064914n	http://dbpedia.org/resource/Province	http://babelnet.org/rdf/s00064914n	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	19	19	107	109	bn:00080439n	http://dbpedia.org/resource/Warfare	http://babelnet.org/rdf/s00080439n	0.0	0.0	0.0	MCS
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	19	21	107	117	bn:01293603n	http://dbpedia.org/resource/2003_invasion_of_Iraq	http://babelnet.org/rdf/s01293603n	0.0	0.0	0.0	MCS
